date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:23	30074/30074	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b023-757a%22	https://demo.bootstrapdash.com/royalui-free/template/index.html	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/index.html	(from )
21:20:24	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2264cb9626-1a%22	https://demo.bootstrapdash.com/robots.txt		(from )
21:20:24	17484/17484	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9b023-444c%22	https://demo.bootstrapdash.com/royalui-free/template/vendors/ti-icons/css/themify-icons.css	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/vendors/ti-icons/css/themify-icons.css	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:24	2714/2714	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9b023-a9a%22	https://demo.bootstrapdash.com/royalui-free/template/vendors/base/vendor.bundle.base.css	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/vendors/base/vendor.bundle.base.css	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:25	514357/514357	---MCZ	200	added ('OK')	text/css	etag:W/%2264a9b023-7d935%22	https://demo.bootstrapdash.com/royalui-free/template/css/style.css	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/css/style.css	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:25	2061/2061	---M--	200	added ('OK')	image/png	etag:%2264a9a18d-80d%22	https://demo.bootstrapdash.com/royalui-free/template/images/favicon.png	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/images/favicon.png	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:25	8310/8310	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264a9a18d-2076%22	https://demo.bootstrapdash.com/royalui-free/template/images/logo.svg	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/images/logo.svg	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:25	2167/2167	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264a9a18d-877%22	https://demo.bootstrapdash.com/royalui-free/template/images/logo-mini.svg	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/images/logo-mini.svg	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:26	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a18d-2dd0%22	https://demo.bootstrapdash.com/royalui-free/template/images/faces/face4.jpg	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/images/faces/face4.jpg	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
21:20:26	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a18d-3430%22	https://demo.bootstrapdash.com/royalui-free/template/images/faces/face2.jpg	C:/My%20Web%20Sites/financas2/demo.bootstrapdash.com/royalui-free/template/images/faces/face2.jpg	(from https://demo.bootstrapdash.com/royalui-free/template/index.html)
